Process name: ;electricity, high voltage, production mix | electricity, high voltage | Cutoff, U | AE
InputFlow;GWP100a;Relative change
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3359680181057003;0.5
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3362911887280553;0.55
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33661435935040945;0.6000000000000001
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33693752997276377;0.6500000000000001
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33726070059511876;0.7000000000000002
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3375838712174739;0.7500000000000002
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33790704183982795;0.8000000000000003
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33823021246218293;0.8500000000000003
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33855338308453775;0.9000000000000002
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3388765537068921;0.9500000000000004
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3391997243292468;1.0000000000000004
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33952289495160104;1.0500000000000005
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.33984606557395564;1.1000000000000005
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3401692361963114;1.1500000000000006
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3404924068186645;1.2000000000000006
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.34081557744102037;1.2500000000000007
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3411387480633755;1.3000000000000007
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3414619186857298;1.3500000000000008
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3417850893080842;1.4000000000000008
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3421082599304388;1.4500000000000008
electricity production, oil | electricity, high voltage | Cutoff, URoW;0.3424314305527935;1.5000000000000009
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.3333606699757069;0.5
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.3339445754110612;0.55
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.33452848084641473;0.6000000000000001
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.335112386281769;0.6500000000000001
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.3356962917171229;0.7000000000000002
electricity production, solar thermal parabolic trough, 50 MW | electricity, high voltage | Cutoff, URoW;0.33628019715247726;0.7500000000000002
